Reaction Time,Accuracy
9.357386,TRUE
6.645196,FALSE
16.16127,TRUE
5.574654,TRUE
7.427753,TRUE
3.228294,TRUE
4.42366,FALSE
5.51717,TRUE
3.887897,TRUE
1.976089,TRUE
8.33252,TRUE
3.384773,TRUE
3.105301,TRUE
3.406357,TRUE
5.271957,TRUE
7.853256,TRUE
5.394615,TRUE
3.796921,TRUE
1.843506,TRUE
3.841904,TRUE
1.050339,TRUE
1.541275,TRUE
1.485428,TRUE
1.742905,TRUE
1.105499,TRUE
1.507698,TRUE
4.668762,FALSE
3.738068,TRUE
5.253708,TRUE
1.262924,TRUE
3.372467,TRUE
1.519653,TRUE
6.053223,TRUE
2.703049,TRUE
2.279343,TRUE
4.020309,TRUE
2.42421,TRUE
3.674347,TRUE
1.898956,TRUE
3.85408,TRUE
5.416656,TRUE
3.607788,TRUE
6.333206,TRUE
1.899246,TRUE
1.764221,TRUE
5.998917,TRUE
1.9207,TRUE
2.345367,TRUE
1.575714,TRUE
6.902557,TRUE
2.892624,TRUE
3.619156,TRUE
4.289124,FALSE
3.875748,FALSE
3.328537,TRUE
3.205673,TRUE
2.726151,TRUE
1.898239,TRUE
5.975403,TRUE
2.926788,TRUE
1.966171,TRUE
5.003799,TRUE
5.316467,FALSE
2.848541,TRUE
7.930115,TRUE
2.066589,TRUE
10.14175,FALSE
2.100403,TRUE
10.99152,TRUE
1.674591,TRUE
11.44891,TRUE
3.886597,TRUE
2.167084,TRUE
9.718323,TRUE
18.32919,TRUE
1.820282,TRUE
3.194336,TRUE
2.189789,TRUE
3.115967,TRUE
1.407196,TRUE
1.977539,TRUE
1.473785,TRUE
1.910004,FALSE
6.36673,TRUE
2.245483,TRUE
6.433411,TRUE
5.785767,TRUE
3.4039,TRUE
4.962128,TRUE
4.333771,TRUE
6.936432,TRUE
2.838745,TRUE
2.623047,TRUE
4.300415,TRUE
3.730652,TRUE
3.496277,TRUE
3.675171,TRUE
4.311493,TRUE
2.982971,FALSE
3.472626,TRUE
5.952179,TRUE
2.559875,TRUE
6.5784,TRUE
2.613281,TRUE
5.13858,TRUE
5.651672,TRUE
2.367554,TRUE
2.458099,FALSE
10.18591,TRUE
6.154999,TRUE
