Reaction Time,Accuracy
4.242115,TRUE
1.773972,TRUE
4.211033,TRUE
2.937618,TRUE
4.266655,TRUE
1.654099,TRUE
1.317722,TRUE
2.8032,TRUE
4.076607,TRUE
2.993877,TRUE
4.726074,TRUE
2.132286,TRUE
1.764824,TRUE
5.493584,TRUE
1.93354,TRUE
3.362518,TRUE
2.312775,TRUE
2.467751,TRUE
2.300812,TRUE
1.753448,TRUE
2.501892,TRUE
2.736633,TRUE
2.591354,TRUE
0.7369385,TRUE
2.580902,TRUE
2.334305,TRUE
4.612762,TRUE
1.12812,TRUE
5.3283,TRUE
2.27813,TRUE
4.088303,TRUE
1.943382,TRUE
1.999306,FALSE
3.33979,TRUE
3.284042,TRUE
4.70237,TRUE
1.519867,TRUE
1.495789,TRUE
1.854385,TRUE
2.023148,TRUE
1.517334,TRUE
1.151001,TRUE
2.099594,TRUE
2.110809,TRUE
2.185059,FALSE
2.159988,FALSE
2.960922,TRUE
1.986526,TRUE
2.972046,TRUE
1.2957,TRUE
2.23407,TRUE
2.222916,TRUE
1.987717,TRUE
1.487213,TRUE
2.533997,TRUE
3.842911,TRUE
1.451492,TRUE
4.333923,TRUE
1.664322,TRUE
3.283524,TRUE
3.775299,TRUE
2.334457,TRUE
2.770248,TRUE
1.932159,TRUE
2.725372,TRUE
2.658417,TRUE
1.441437,TRUE
3.753357,TRUE
3.819229,TRUE
2.088989,TRUE
1.553101,TRUE
3.417084,TRUE
2.099777,TRUE
1.709412,TRUE
1.663788,TRUE
3.138611,TRUE
2.637421,TRUE
1.841965,TRUE
1.251419,TRUE
2.032608,TRUE
3.048996,TRUE
1.686508,TRUE
1.206436,TRUE
2.267868,TRUE
2.167053,TRUE
1.652374,TRUE
1.563919,TRUE
1.77655,TRUE
2.512436,TRUE
1.262604,TRUE
1.775543,TRUE
1.37381,TRUE
1.519211,TRUE
1.452454,TRUE
1.306946,TRUE
2.233887,TRUE
1.83194,TRUE
1.66394,TRUE
1.585815,TRUE
3.250916,FALSE
1.619019,TRUE
2.480103,TRUE
1.61911,TRUE
3.116791,TRUE
2.591064,TRUE
3.374176,TRUE
4.075989,TRUE
3.697235,TRUE
3.607544,TRUE
2.747864,TRUE
4.277985,TRUE
3.83139,TRUE
2.077271,TRUE
3.161133,TRUE
2.166718,TRUE
3.272247,TRUE
1.463531,TRUE
3.932251,TRUE
1.653229,TRUE
2.925873,TRUE
1.508362,TRUE
2.468475,TRUE
2.356415,TRUE
1.318298,TRUE
2.669159,TRUE
1.708984,TRUE
2.178467,FALSE
4.132538,TRUE
1.262604,TRUE
2.233673,TRUE
1.407837,TRUE
2.468323,TRUE
2.277863,TRUE
3.295105,TRUE
2.032837,TRUE
2.558624,TRUE
4.233002,TRUE
4.813751,TRUE
4.065918,FALSE
1.90979,TRUE
1.508728,TRUE
3.03775,TRUE
0.9381409,TRUE
2.110748,TRUE
1.262604,TRUE
1.70871,TRUE
3.216797,TRUE
2.781036,FALSE
2.133331,TRUE
